	src	tgt
361	톰은 마침내 일자리를 구했다.	Tom finalmente consiguió trabajo.
362	우리는 전 세계의 우표를 모은다.	Coleccionamos estampillas de todo el mundo.
363	난민들은 여러 교회 기구로부터 지원을 받는다.	Los refugiados han recibido apoyo de varias organizaciones religiosas.
364	법원은 그녀에세 6개월의 징역에 집행유예를 선고하였다.	El tribunal la condenó a seis meses de libertad condicional.
365	살인자는 종신형을 선고받았다.	El asesino fue condenado a cadena perpetua.
366	그 편지는 무엇에 관한 것입니까?	¿De qué se trata esa carta?
367	그 편지는 무엇에 관한 것입니까?	¿De qué se trata la carta?
368	가장 가까운 지하철역이 어딥니까?	¿Dónde está la estación de metro más cercana?
369	이 제품은 이탈리아에서 말들어졌다.	Este producto fue hecho en Italia.
370	왜 나를 따라오세요?	¿Por qué me sigue usted?
371	그 여자는 무엇을 원해요?	¿Esa mujer qué quiere?
372	수잔의 음식 솜씨가 훌륭하다.	La habilidad de cocina de Susan es muy alta.
373	나는 요코하마에 살고 있다.	Estoy viviendo en Yokohama.
374	저도 모르겠어요.	Yo tampoco sé.
375	왜 거짓말을 해요?	¿Por qué mientes?
376	하지마!	¡No lo hagas!
377	실험은 실패했다.	El experimento ha fallado.
378	해적들은 항복할 수 밖에 없었다.	Los piratas no pudieron más que rendirse.
379	하느님이 천지를 창조하셨다.	Dios creó el cielo y la tierra.
380	연필이 필요하면 제가 빌려줄게요.	Si ocupas un lápiz, te presto uno.
381	그는 가지 않기로 결정했다.	Él decidió no ir.
382	의사는 그녀에게 집에 있으라고 조언했다.	El médico le aconsejó que se quedara en casa.
383	신발끈을 묶으세요.	Atate el cordón del zapato.
384	누가 제 차를 훔처갔어요. 제가 주차한곳에 없어요.	Alguien se robó mi carro. No está donde lo estacioné.
385	커피 한 잔?	¿Una taza de café?
386	출발은 몇 시에 합니까?	¿A qué hora parte?
387	출발은 몇 시에 합니까?	¿A qué hora partiremos?
388	이 작은 섬이 시야에 들어왔다.	Esta pequeña isla entró a la vista.
389	그는 한 가지 언어만 말할 수 있다.	Él solo puede hablar un idioma.
390	이건 저의 컴퓨터예요.	Esta es mi computadora.
391	일본요리 식당으로 갑시다.	Vayamos a un restaurante japonés.
392	어젯밤에 난 라디오를 듣고 있었다.	Anoche estuve escuchando la radio.
393	나는 이것이 어디에서 왔는지 모른다.	Yo no sé de dónde vino esto.
394	그는 결코 행복하지 않았다.	Él jamás fue feliz.
395	생일 축하해요 Muiriel!	¡Feliz cumpleaños, Muiriel!
396	시간 있는지 잘 모르겠다.	No sé si tengo tiempo.
397	시간 있는지 잘 모르겠습니다.	No sé si tengo tiempo.
398	"작고 횐색 토끼는 '왠 일 있니?"" 물어봤어요."	—¿Qué pasa? —preguntó el pequeño conejo blanco.
399	너 참 예쁜 아이구나	Eres una chica linda.
400	"작고 횐색 토끼는 '무슨 일 있니?"" 라고 물어봤다."	—¿Qué pasa? —preguntó el pequeño conejo blanco.
401	오늘의 날씨가 어제보다 더 아름답다.	El tiempo es más agradable hoy que ayer.
402	오늘의 날씨가 어제보다 더 아름다워요.	El tiempo es más agradable hoy que ayer.
403	오늘의 날씨가 어제보다 더 아름다워.	El tiempo es más agradable hoy que ayer.
404	그는 의사가 아니라, 박사다.	Él no es doctor, es doctorado.
405	정말 서운해.	Estoy realmente apenado.
406	정말 섭섭해.	Estoy realmente afligido.
407	빨리 갔다 올게.	Voy y vengo rápido.
408	오늘 날씨가 어제보다 더 좋다.	El tiempo es mejor hoy que ayer.
409	저한테 신경 쓰지마세요	No se preocupe por mí.
410	나한테 신경 쓰지마	No te preocupes por mí.
411	아이에게 이치를 말해도 소용없다	Es inútil razonar con un niño.
412	네 혈액형이 뭐지?	¿Cuál es tu tipo de sangre?
413	꿈자리가 사나워 잠을 설쳤다	No pude dormir bien por el sueño feroz que tuve.
414	그는 학교 공부가 좀 처진다.	Se queda un poco atrás en sus estudios escolares.
415	기쁨은 나누면 배가 되고 슬픔은 나누면 반이 된다.	Alegría compartida se vuelve doble, penas compartidas se vuelven la mitad.
416	세상 참 좁네요!	¡Qué pequeño es el mundo!
417	개같이 벌어서 정승같이 쓴다	Lo que se guarda apretado es lo más utilizado.
418	개 눈에는 똥만 보인다	A través de sus ojos sólo se ve popó.
419	배보다 배꼽이 크다.	El ombligo está más grande que la barriga.
420	고양이가 발톱을 감춘다.	El gato esconde sus uñas.
421	바보같이 굴지 말고 실속을 차려라.	No seas tonto, mejórate.
422	그는 그 고아를 양자로 삼았다.	Él adoptó a ese huérfano.
423	눈썰미가 있구나.	¡Qué bien aprendes visualmente!
424	그녀에 대한 제 사랑이 진실합니다	Mi amor por ella es verdadero.
425	고생하셨어요.	Se ha esforzado mucho.
426	장가들었느냐?	¿Se casaron?
427	여자들은 대부분 화려한 결혼식을 꿈꿔.	La mayoría de las mujeres sueñan con una boda espléndida.
428	일이 이렇게 많으니 밤새우게 생겼네요.	Como tengo tanto trabajo, me tardaré toda la noche.
429	요즘은 인터넷만 뒤지면 모든 정보와 지식와 호수 그 바다에 풍덩 빠질 수 있을 수 정도로 그런 시대예요.	Estamos en una época, que cuando uno entra al internet, todo lago de información y sabiduría puede caer plaf en el mar.
430	그는 경험이 있는 선생님이에요.	Él es maestro con experiencia.
431	남남북녀.	Hombre sureño, mujer norteña.
432	지금은 바빠서 못 가.	No puedo ir porque estoy ocupado.
433	그만하면 그에게 흡족하게 해 준 거다.	Ya has hecho lo suficiente por él.
434	별일 없으세요?	¿No tiene usted algo importante que hacer?
435	이제는 일이 손에 어느 정도 익었어요.	Ya estoy algo acostumbrado al trabajo.
436	서울의 거리는 대부분 깨끗합니다.	La mayoría de las calles de Seúl están limpias.
437	그건 내가 할 소리야.	Dije que lo iba a hacer.
438	진수 씨가 저를 도와주신 것을 감사하는 뜻으로 저녁에 초대하려고 해요.	Intentaré invitar a Jinsu a cenar como agradecimiento de haberme ayudado.
439	엄마 설겆이 하시나 봐.	Parece que mamá está lavando los platos.
440	수면 부족이 점차 건강에 영향을 미친다.	La falta de sueño poco a poquito alcanza a afectar la salud.
441	수아 씨, 요즘 요가 하신다더니 정말 날씬해지셨네요.	Señorita Súa, ¡adelgazó bastante haciendo yoga estos días!
442	요즘 여행 준비하느라 아주 바쁘시지요?	Ahora se encuentra usted ocupado estos días por andar preparándose para el viaje, ¿no?
443	오해 하지 마세요.	No me malentienda.
444	니 맘대로 하세요.	Haz lo que te dé la gana.
445	내 여자친구가 되어줄래?	¿Serías mi novia?
446	내 남자친구가 되어줄래?	¿Serías mi novio?
447	우린 서로 첫눈에 반했어요.	Fue amor a primera vista.
448	당신에게 반했습니다.	Estoy loco por ti.
449	우린 천생연분이야.	Somos almas gemelas.
450	사랑합니다.	Te quiero.
451	사랑합니다.	Te amo.
452	소파와 안락의자가 저기 있어요.	Allá están el sofá y el sillón.
453	그는 그의 안경을 안 가지고 왔어요.	Él no trajo sus lentes.
454	그들은 자러 가고 싶지 않았어요.	No se querían ir a dormir.
455	저는 수상스키를 타고 싶어요.	Quiero hacer esquí acuático.
456	저는 피곤해서 가요.	Estoy cansado, así que me voy.
457	우리는 아침식사를 하고 싶어요.	Nosotros queremos desayunar.
458	제가 양상추를 씻을까요?	¿Debería lavar la lechuga?
459	언제 전화할 거예요?	¿Cuándo vas a llamar?
460	극장 가는 걸 좋아해요?	Te gusta ir al teatro?
461	저희 손님들은 흥미로운 사람들이었어요.	Nuestros invitados fueron gente muy interesante.
462	밤에 혼자 산책하는 것은 위험해요?	¿Es peligroso pasear solo por la noche?
463	고릴라하고 얼룩말은 어디 있어요?	¿Dónde están los gorilas y las cebras?
464	저 여자아이의 부모님이 누구세요?	¿Quiénes son los padres de aquella niña?
465	저는 예순 살이 되자마자 일을 그만둘 거예요.	Voy a dejar de trabajar en cuanto cumpla sesenta años.
466	밴드는 아주 잘 연주해요.	La banda toca muy bien.
467	그의 열쇠가 어디 있는지 알아요?	¿Sabes en dónde están sus llaves?
468	그분은 의사가 아닙니다.	Él no es médico.
469	그분은 제 친구입니다.	Él es mi amigo.
470	그분은 제 친구입니다.	Ella es mi amiga.
471	너무 까다롭게 고르면 아무것도 못 받는다.	Si escoges demasiado meticulosamente, no recibirás nada.
472	너 언제 론돈에서 돌아 왔어죠?	¿Y cuándo fue que regresaste de Londres?
473	모두 미아를 찾아 봤다.	Todos buscaron al niño extraviado.
474	할아버지가 팔십 구 세 돼셨어요.	El abuelo cumplió ochenta y nueve años.
475	할아버지가 팔십 구 세 돼셨어요.	Mi abuelo cumplió ochenta y nueve años.
476	삶의 경험은 중요한 지식체계이다.	La experiencia de la vida es un cuerpo importante del conocimiento.
477	톰이 누구에요?	¿Quién es Tom?
478	곧 여기에서 사는 것에 적응될 거예요.	Pronto te acostumbrarás a vivir aquí.
479	당신이 원한다면 나는 돈을 어느정도 빌려줄 수 있어요.	Puedo prestarte algo de dinero si quieres.
480	아직도 당신은 인간관계에 대해 많이 배워야 해요.	Aún debes aprender mucho sobre relaciones.
481	언제 시작할 생각이에요?	¿Cuándo pretendes empezar?
482	여기 브라질에서 전시되기 위해서 이 예술 작품들이 바다를 건너 왔어요.	Las obras de arte cruzaron el océano para ser exhibidas acá en Brasil.
483	그는 꽤 젊었을 때부터 대머리가 되기 시작했다.	Empezó a quedarse calvo siendo bastante joven.
484	그녀는 하나의 결점만 없었다면 완벽했을 것이다.	Para ser perfecta sólo le faltaba un defecto.
485	톰은 메리 생각 하느라 시간을 다 보낸다.	Tom pasa todo su tiempo pensando en Mary.
486	당신은 삼일전에 일을 끝냈다고 말했다.	Usted le dijo que había terminado el trabajo tres días atrás.
487	마유코는 내 사과를 한 입 베어물었다.	Mayuko le dio una mascada a mi manzana.
488	나는 아기를 깨우지 않으려고 문을 살며시 닫았다.	Cerré suavemente la puerta para no despertar al bebé.
489	돼지들은 악취가 나지만, 후각이 아주 좋다.	Los cerdos huelen mal, pero tienen muy buen olfato.
490	기다릴 수 밖에 없다.	Sólo puedo esperar.
491	공부할 방이 없다.	No tiene cuarto para estudiar.
492	그는 자기 아내에게 늘 진실했었다고 한다.	Dice que siempre le ha sido fiel a su esposa.
493	그의 비위를 맞추기가 너무 힘들다.	Es difícil complacerle.
494	도쿄와 모스크바 간을 오가는 항공편이 있다.	Hay un vuelo entre Tokio y Moscú.
495	케이트는 잃어버렸던 손목시계를 찾았다.	Kate encontró el reloj que había perdido.
496	너무 엄격하게 굴지마라. 그냥 아이들일 뿐이다.	No seas tan estricto. Solo son niños.
497	어제 몇명이서 동물원에 갔어요?	¿Cuánta gente vino al zoológico ayer?
498	그는 방 한쪽에서 다른 쪽으로 갔었다.	Él iba de un lado para otro en la habitación.
499	그녀는 그에게 행복하냐고 물었다.	Ella le preguntó si era feliz.
500	너는 나랑 여기 같이 있으니 안전하다.	Estás seguro aquí conmigo.
501	트위터의 슬로건은 '당신이 사는 세상에서 지금 무슨 일이 일어나고 있는지 알 수 있는 가장 좋은 방법'이다.	"El eslogan de Twitter es ""La mejor manera de descubrir qué hay de nuevo en tu mundo""."
502	그는 해군이 되었다.	Él se hizo marinero.
503	그들이 말하는 남자는 죽은지 오래 됐는데.	El hombre del que están hablando lleva mucho tiempo muerto.
504	저는 학교에서 나와틀어를 배워요. 멕시코 사람이에요.	Aprendo el náhuatl en mi escuela. Soy mexicano.
505	봄에 피는 꽃은 여러 가지가 있습니다.	En primavera hay una gran variedad de flores nacientes.
506	올해도 잘 부탁합니다.	Este año también, sea benigno conmigo.
507	올해도 잘 부탁합니다.	Este año también, se lo encargo mucho.
508	올해도 잘 부탁합니다.	Este año también, estoy para servirle.
509	그는 사과를 가득 채운 봉지를 들고 있었다.	Él cargaba una bolsa llena de manzanas.
510	책은 어딘가 다른 곳에 있기를 원하는 사람들을 위한 것이다.	Los libros son para la gente que desearía estar en otro lugar.
511	나는 해야할 것을 할 것이다.	Haré lo que tenga que hacer.
512	그녀는 목표에 도달하기 위해 노력했다.	Ella se esforzó en alcanzar su meta.
513	수염 없는 키스는 소금 없는 국과 같다.	Un beso sin bigote es como una sopa sin sal.
514	좋은 생각을 가지고 있네요.	Ha tenido usted una gran idea.
515	제 사촌은 기자예요.	Mi prima es periodista.
516	교토에서 오는 기차는 몇 시에 도착하나요?	¿A qué hora llegará el tren de Kioto?
517	나는 모든 질문들에 대답할 수 있었다.	Pude responder todas las preguntas.
518	전화번호 좀 줄래요?	¿Me da su número de teléfono?
519	톰은 다리에 쥐가 났다.	A Tom le dio un calambre en la pierna.
520	토미는 그 마지막 질문에 대답할 수 없었다.	Tommy no pudo responder a la última pregunta.
521	홀은 일본 그림들로 장식되어 있었다.	La sala estaba decorada con pinturas japonesas.
522	거기에 한번 있었던 적이 있어.	Estuve allá una vez.
523	메리는 개를 무서워한다.	Merry le tiene miedo a los perros.
524	다행히도 너무 심해지기 전에 불이 꺼졌다.	Afortunadamente, el fuego fue apagado antes de que fuera demasiado grave.
525	그들은 톰 없이는 계속할 수 없다.	Ellas no pueden continuar sin Tom.
526	어제 그는 아무 것도 안 먹었다.	Ayer no comió nada.
527	하지만, 적절하지 못한 순간이었다.	Sin embargo, el momento no fue muy oportuno.
528	나는 더이상 무시당하는 것을 참지 않겠다.	Me rehúso a seguir siendo ignorado.
529	그들은 자신을 싫어했다.	Se odiaban a sí mismos.
530	그는 바람을 피웠다.	Él me puso los cuernos.
531	그들은 서로 싫어했다.	Ellos se odiaban.
532	그는 여기로 오는 중에 길을 잃었다.	Él se perdió cuando se dirigía hacia aquí.
533	어느날 빠블로는 과테말라의 정글 속에서 길을 잃었다.	Un día Pablo se perdió en la selva de Guatemala.
534	새가 날아가 버리고 시야에서 사라졌다.	El pájaro se fue volando y se perdió de vista.
535	그는 생각에 잠겼다.	Se perdió en sus propios pensamientos.
536	저번에 잃어버린 시계는 새 거였다.	El reloj que se me perdió el otro día era nuevo.
537	겨울에 이 모자를 쓰고 다녀야 될 것 같아.	Parece que tendré que ponerme este sombrero en invierno.
538	미국 성인은 약 65퍼센트가 비만이고 그건 그들의 건강에 좋지 않다.	Aproximadamente el 65% de los adultos estadounidenses tienen sobrepeso, lo cual no es bueno para su salud.
539	내일 널 만나고 싶어.	Quisiera verte mañana.
540	엘리자베스가 알리스터를 냉혹하게 죽였다.	Elizabeth mató a Alister a sangre fría.
541	무료로 받을 수도 있어.	Podrías recibirlo gratis.
542	그녀가 케이크를 여섯 조각으로 잘라서 애들에게 한조각씩 줬다.	Ella cortó la tarta en seis trozos y dio uno a cada niño.
543	아버지의 사망을 알리는 전화를 받았을 때 나는 완전히 당황했다.	Cuando recibí la llamada informándome de la muerte de mi padre, estaba completamente aturdido.
544	그들은 너무 피곤하여 산을 오를 수 없었다.	Ellos estaban muy cansados para escalar la montaña.
545	그녀가 마음을 바꿀 것 같다.	Parece que ella podría cambiar de opinión.
546	내가 갖고 있는 게 어쩌면 네가 원하는 것일 수도 있어.	Creo que tengo algo que puede que quieras.
547	그것의 긍정적인 면을 보자.	Veamos el lado positivo.
548	그는 그림에 재능이 있었다.	Él tenía talento para la pintura.
549	그에 대해서 뭘 알아?	¿Qué sabes sobre él?
550	슬퍼하는 여자가 친구들에게서 위안을 받았다.	La mujer, hundida en la tristeza, fue consolada por sus amigos.
551	톰이 언제 여기 왔지?	¿Cuándo llegó Tom aquí?
552	나에겐 경치 좋은 산이 보이는 방이 있었다.	Tenía una habitación con una hermosa vista de las montañas.
553	나는 내가 몇살인지 모르겠다.	No sé qué edad tengo.
554	그는 이웃주민의 행운을 부러워했다.	Ella tenía envidia de la buena fortuna de su vecino.
555	더 이상 경제적이지 않아서 여객선 운항을 멈췄다.	Cerraron el servicio de ferry porque ya no era económico.
556	언젠가 아이들은 다 둥지를 떠난다.	Todos los hijos abandonan el nido algún día.
557	그 남자는 많은 대출업자에게서 돈을 빌리는 사람이다.	Ese hombre es una persona que pide prestado dinero de muchos prestamistas.
558	너는 아빠랑 똑같다.	Eres exactamente como tu padre.
559	너는 아빠랑 똑같다.	Eres clavadito a tu padre.
560	너는 아빠랑 똑같다.	Eres igual a tu padre.
561	그걸 다시 보고 싶다.	Quiero volver a verlo.
562	그를 다시 보고 싶다.	Quiero volver a verlo.
563	너는 걔처럼 빨리 수영할 수 있어?	¿Puedes nadar tan rápido como él?
564	너가 파티에서 입을 것을 사자.	Vamos a comprar algo para que te pongas para la fiesta.
565	이 기사를 읽는것만으로도 그 사고가 얼마나 심각했는지 알 수 있다.	Sólo tienes que leer este artículo para ver qué tan grave fue el accidente.
566	파티 막바지에 그는 아직도 병원에 대해서 뭔가 중얼거리고 있었는데 얼음 조각에 미끄러 넘어져 왼쪽다리를 부러졌다.	Todavía estaba murmurando algo acerca de hospitales al final de la fiesta cuando se resbaló sobre un trozo de hielo y se rompió la pierna izquierda.
567	나는 비타민C 섭취를 위해 신선한 레몬을 먹었다.	Me comí un limón fresco por la vitamina C.
568	나는 네가 진실을 말하는걸 안다.	Sé que dices la verdad.
569	메세지 전해 드릴께요.	Puedo tomar un recado.
570	답장을 아직도 못 받아서 혹시 내 우편물이 너한테 배달되지 않은 건지 궁금했다.	Como no he recibido una respuesta, me preguntaba si tal vez mi correo nunca se te entregó.
571	그가 재능있는 예술가인 것은 확실하다.	Está claro que él es un gran artista.
572	나는 호수에 스케이트를 타러 갔다.	Fui a patinar al lago.
573	난 말하다가 목이 쉬었다.	Yo hablé hasta quedar ronco.
574	그 회사가 작년에 십억엔의 손실을 보았다.	La compañía sufrió una pérdida de mil millones de yen el año pasado.
575	사회가 변화하고 있다.	La sociedad está cambiando.
576	어른들을 존경해야한다.	Tienes que respetar a tus mayores.
577	댐 밑에 물방앗간이 있었다.	Había un molino de agua debajo de la presa.
578	아이들이 자전거를 타고 있다.	Los niños están andando en sus bicicletas.
579	한국에는 무슨 일로 오셨습니까?	¿A qué viene usted a Corea?
580	한국에 처음 오셨습니까?	¿Es la primera vez que vienes a Corea?
581	내 비밀은 이런 거야. 매우 간단한 거지. 오로지 마음으로 보아야만 정확하게 볼 수 있다는 거야. 가장 중요한 것은 눈에는 보이지 않는 법이야.	Este es mi secreto. Es algo bastante simple. Solamente viendo por el corazón se puede ver correctamente. Lo más importante es lo que no se ve con los ojos.
582	이번 주는 운전연습을 하느라고 바빠요.	Esta semana, estoy ocupado practicando a manejar.
583	이 세상의 교육이 실망스러워.	La educación en este mundo me decepciona.
584	나는 남자를 봐요.	Veo a un hombre.
585	맛있게 드세요!	¡Buen provecho!
586	호랑이도 제 말하면 온다.	Hablando del rey de Roma.
587	Kaisha를 영어로 어떻게 말해요?	"¿Cómo se dice ""kaisha"" en inglés?"
588	손바닥으로 하늘을 가리려한다.	Es tratar de tapar el cielo con la palma de la mano.
589	가계야치요.	Está llena de gallinas y faisanes salvajes tu casa.
590	가계야치요.	Aprecias más lo que tiene otro y descuidas lo que tienes en casa.
591	난 전라 배고프다.	Tengo un chingo de hambre.
592	無隻 잘산다.	Sin energías vengativas se vive bien.
593	그 남자는 작은 목소리로 말했다.	Ese hombre habló con voz baja.
594	가져도 될까요?	¿Está bien si me lo llevo?
595	그래서 나는 프랑스에 오래 머무르고 싶고, 그러기 위한 돈이 필요하다.	Por eso es que quiero quedarme mucho tiempo en Francia y necesito dinero para ello.
596	톰이 원한다면, 내 비디오 카메라를 쓸 수 있다.	Tom puede usar mi cámara de vídeo si quiere.
597	난 재미없는 사람이야.	Soy aburrido.
598	난 지루해.	Estoy aburrido.
599	그 노란색 장난감은 작다.	El juguete amarillo es pequeño.
600	난 6시 반에 돌아올 거야.	Volveré a las seis y media.
601	우리 엄마는 그렇게 열심히 공부하지 말래.	Mi madre me dice que no estudie tan arduamente.
602	그 일은 내일까지 기다려도 돼?	¿Puede esperar hasta mañana?
603	그 일은 내일 해도 돼?	¿Podemos hacerlo mañana?
604	그 일은 내일 해도 돼?	¿Podemos dejarlo para mañana?
605	우리에게 필요한 것이 무엇인지 하나님께서는 아신다.	Dios sabe qué es lo que necesitamos.
606	난 거의 죽을 뻔 했다.	Casi me muero.
607	그는 아무도 그의 안락의자에 못 앉게 할 것이다.	No dejará que nadie se siente en su sillón.
608	내 시계는 네 것과 다르다.	Mi reloj es distinto al tuyo.
609	이런 일에 시간을 낭비하고 싶지 않다.	No quiero desperdiciar mi tiempo en esto.
610	20세기 동안 아프가니스탄이랑 이란은 국가를 여러 번 바꿨다.	Afganistán e Irán cambiaron sus himnos nacionales varias veces en el transcurso del siglo XX.
611	믿는 사람한테 귀신은 실제다.	Los fantasmas son reales para aquellos que creen en ellos.
612	저번달에 그들은 미국에 갔다.	Se fueron a Estados Unidos el mes pasado.
613	식전 요리에는 음료가 제공됩니다.	La entrada incluye una bebida.
614	아침에 무슨 일이 있었니?	¿Qué pasó esta mañana?
615	우리 언니는 날마다 피아노를 친다.	Mi hermana toca el piano cada día.
616	우리 누나는 날마다 피아노를 친다.	Mi hermana toca el piano cada día.
617	우리 여동생은 날마다 피아노를 친다.	Mi hermana toca el piano cada día.
618	그가 충격에서 벗어나는 데는 몇 주 걸렸다.	Tardó varias semanas para recuperarse del choque.
619	톰이 나한테 봉투를 내 생일 때까지 열지 말래.	Tom me dijo que no abriera el sobre hasta mi cumpleaños.
620	어느 걸 사면 좋을 지 몰랐다.	No sabía cuál debía comprar.
621	난 밤새도록 울었다.	Lloré toda la noche.
622	밧줄을 자르기 위한 칼이 필요하다.	Necesito un cuchillo para cortar la cuerda.
623	저는 추가 의견이 있어요.	Tengo un comentario.
624	저는 논평할 말이 있어요.	Tengo un comentario.
625	껌이다.	Es pan comido.
626	시내가 한눈에 보이다.	Se ve toda la ciudad de un vistazo.
627	어떻게 말해요?	¿Cómo se dice?
628	문장에 틀렸거나 어색하다면 꼭 고쳐주시기 바랍니다!	Si hay errores o construcciones extrañas en las oraciones, les pedimos que por favor las corrijan.
629	우리 가족과 함께 즐거운 휴가를 보내고 차 타고 멕시코 전역을 돌아다녔습니다.	Pasé unas maravillosas vacaciones junto con mi familia paseando por todo México en carro.
630	지나간 각 도시의 아름다운 풍경이 볼만 했다.	Valió la pena ver los hermosos paisajes de cada ciudad que pasamos.
631	포포카테페틀 산과 이스타시와틀 산 그리고 성당, 식민건축물, 여러 박물관이 잘 보였기 때문에 도착하자 마자 뿌에블라의 풍경이 얼마나 아름다운지 알 수 있었습니다.	En cuanto llegamos a Puebla se veían los volcanes Popocatépetl e Iztaccíhuatl, las iglesias, los edificios coloniales y varios museos y nos dimos cuenta de cuán maravilloso era su paisaje.
632	다음 날에는 나가지 않고 칙나와판 온천에 가서 거의 하루종일 수영을 했고, 너무 재미 있고 유익한 경험이었습니다.	El siguente día no salimos y pasamos casi todo el día en las aguas termales de Chignahuapan; fue una experiencia única y muy divertida.
633	휴가 마지막 무렵에는 쫌 향수를 느꼈지만 집에 돌아가는 것도 기대했다.	A fines de las vacaciones sentí un poco de nostalgia, pero también estaba emocionado por regresar a casa.
634	해가 질 무렵 높은 데 올라가서 태양이 천천히 내려가는 것을 보고, 따라서 밤의 광장에 놀러갔다.	Al atardecer, subimos a un lugar alto y vimos el sol ponerse lentamente y a continuación fuimos al zócalo de noche.
635	설마 일이 이렇게 될 줄이야.	¿Cómo pudo haber pasado esto?
636	설마 일이 이렇게 될 줄이야.	No puedo creer que haya pasado esto.
637	당근이지.	Naturalmente.
638	이젠 끝장이야!	¡Estoy muerto!
639	제멋에 겨워 밥도 안벅고 날밤을 샌다.	Está tan inmerso en lo suyo que ni come y pasa toda la noche sin dormir.
640	아까 한 말 취소야.	Olvida lo que acabo de decir.
641	맛있긴 뭐가 맛있어?	¿Qué tiene de sabroso?
642	이젠 어쩔 셈이야?	¿Y ahora qué?
643	조심해!	¡Ten cuidado!
644	이 짓이 지겨워 죽겠어.	Esta onda me tiene hasta la madre.
645	모두들 잃어버린 아이를 찾아 보았다.	Todos buscaron al niño extraviado.
646	우리는 집에 가는 중입니다.	Estamos yendo a casa.
647	또한 프랑스의 분위기를 느끼고 싶다.	Y también quiero sentir el ambiente de Francia.
648	왜 그렇게 서둘러?	¿Cuál es la prisa?
649	니 똥 굵다.	Tú mandas.
650	니 똥 굵다.	Tu popó es gruesa.
651	뭐하고 살았냐?	¿Cómo la pasaste?
652	그리스인들은 기원전 7세기에 이탈리아 반도를 발견했다.	Los griegos descubrieron la península italiana en el siglo VII antes de Cristo.
653	나는 행복한 삶을 살고 싶어요.	Yo quiero vivir una vida feliz.
654	보통 영화를 볼 때 팝콘이랑 코카콜라를 먹는데 이번엔 사탕을 먹으려해.	Normalmente como palomitas y tomo Coca cuando veo una película, pero esta vez voy a comer dulces.
655	영화가 나빠도 친구랑 같이 있으니 즐거울 테지.	Aunque esté mala la película, la pasaré bien porque estoy con amigos.
656	인터넷에 의하면 대단히 흥미로울 것 같아.	Según el internet, será muy interesante.
657	영화에서 뭐가 일어나는지는 모르겠지만 친구들이 재미 있대.	No sé qué pase en la película, pero mis amigos dicen que es divertida.
658	다음 주말에 영화관에서 디버전트란 액션 영화를 자막 없이 볼거다.	El próximo fin de semana voy a ver la película de acción 'Divergente' sin subtítulos.
659	나중에 친구랑 같이 영화 보러 갈거다.	Después voy a ir a ver una película con un amigo.
660	쇼핑하기 참 싫지만 힘을 내야겠다!	La neta no me gusta ir de compras, pero ¡tendré que aguantar!
661	곧 사촌의 결혼식이 있어서, 내일 아침에 난 엄마랑 누나랑 같이 웨딩드레스를 사러 가야 돼.	Mañana tengo que salir a comprar un vestido de bodas con mi mamá y hermana ya que pronto será la boda de mi prima.
662	오랫동안 컴퓨터를 하니까 못 자겠다.	Estando en la computadora por tanto tiempo, no creo poder dormir.
663	빨리 스페인어가 늘었으면 좋겠네.	Quiero mejorar mi español rápido.
664	빨리 스페인어가 늘었으면 좋겠네.	¡Qué bueno sería si mi español mejorara rápido!
665	기분이 하루종일 좋았다.	Me sentí bien todo el día.
666	새 급우도 있고 선생님은 아주 재미있고 머리 좋은 사람이다.	Tengo nuevos compañeros y mi maestro es una persona muy lista y divertida.
667	오늘 새로운 수업을 들었는데 저번 수업과 같은 수준으로 들을 수 있다.	Hoy pude tomar una clase nueva al mismo nivel que mi clase anterior.
668	3달전에 학생이 너무 적어서 수업이 없어졌던 거다.	Se canceló la clase hace 3 meses por falta de alumnos.
669	오늘 스페인어 수업을 다시 받게 돼서 너무 기쁜데.	Estoy muy contento hoy de haber podido volver a tomar clases de español.
670	일과를 마칠 때 즈음, 저녁을 만들어 먹고 기타를 쳤다.	Después de terminar mis deberes del día, preparé cena, comí y toqué la guitarra.
671	숙제도 했고 일도 했고 집에 돌아가서 그 다음에 또 도서관에 숙제하러 갔다.	Hice tarea, trabajé y después de haber regresado a casa volví a la biblioteca para terminar la tarea.
672	주말이 너무 바쁠 테니까 보충해 둘 잠이 필요했다.	Como estaré muy ocupado el fin de semana, necesito dormir extra.
673	오랜만에 늦게까지 잤는데.	Hacía mucho que no dormía hasta tarde.
674	휴가를 4주일 보낸 후에 말하기와 쓰기를 유창하게 하지 못하고, 더 많은 연습이 필요하다.	Después de 4 semanas de vacaciones no puedo hablar con fluidez, necesito practicar mucho más.
675	방과 후 음식 찌꺼기 처리기를 바꾸기 위해 수리공을 불렀어.	Después de clases tuve que llamar al reparador para cambiar el triturador de basura.
676	너 바보 아냐!	¡Si serás idiota!
677	나는 임신 4개월이다.	Estoy embarazada de cuatro meses.
678	다음은 누구 차례지?	¿Quién sigue?
679	다음 분 오세요.	El siguiente, por favor.
680	완전 말도 안돼!	¡Eso es totalmente absurdo!
681	1, 3, 5는 홀수이다.	Uno, tres y cinco son números nones.
682	2, 4, 6 등은 짝수이다.	Dos, cuatro, seis, etc. son números pares.
683	카드 돼요?	¿Puedo pagar con tarjeta de crédito?
684	없다.	No hay.
685	축하합니다!	¡Felicidades!
686	5 더하기 3는 8이다.	Cinco más tres es ocho.
